state,cases,deaths,population,percOver65,percFemale,percWhite,personsHousehold,bachDegreeHigherPerc,medianHouseInc,popPerSqMi,totalTests,gov
Alabama,6213,245,4903185,16.9,51.6,65.4,2.55,24.9,48486,94.4,73551,rep
Alaska,339,9,731545,11.8,47.9,60.3,2.81,29.2,76715,1.2,16177,rep
Arizona,6280,304,728717,17.5,50.3,54.4,2.69,28.9,56213,56.3,64811,rep
Arkansas,2909,59,3017804,17,50.9,72.2,2.52,22.6,45726,56,39469,rep
California,41137,1887,39512223,14.3,50.3,36.8,2.96,33.3,71228,239.1,526084,dem
Colorado,12868,760,5758736,14.2,49.6,67.9,2.56,40.1,68811,48.5,59791,dem
Connecticut,24582,2168,3565287,17.2,51.2,66.5,2.54,38.9,76106,738.1,79811,dem
Delaware,3576,144,973764,18.7,51.6,61.9,2.58,31.4,65627,460.8,19249,dem
Florida,29996,1240,21477737,20.5,51.1,53.5,2.65,29.2,53267,350.6,344613,rep
Georgia,22225,1093,10617423,13.9,51.4,52.4,2.71,30.7,55679,168.4,123223,rep
Hawaii,604,16,1415872,18.4,49.9,21.8,3.02,32.5,78084,211.8,28483,dem
Idaho,1887,60,1787065,15.9,49.9,81.7,2.68,26.9,53089,19,19565,rep
Illinois,41777,2215,12671821,15.6,50.9,61,2.59,34.1,63575,231.1,214952,dem
Indiana,14395,1065,673219,15.8,50.7,78.9,2.53,25.9,54325,181,81708,rep
Iowa,5092,148,3155070,17.1,50.2,85.3,2.41,28.2,58580,54.5,36090,rep
Kansas,3056,125,2913314,15.9,50.2,75.7,2.52,32.9,57422,34.9,26227,dem
Kentucky,3905,225,4467673,16.4,50.7,84.3,2.49,23.6,48392,109.9,46558,dem
Louisiana,26512,1845,4648794,15.4,51.2,58.6,2.61,23.7,47942,104.9,143036,dem
Maine,990,52,1344212,20.6,51,93.1,2.33,30.9,55425,43.1,17799,dem
Maryland,17766,1078,6045680,15.4,51.5,50.5,2.67,39.6,81868,594.8,96665,rep
Massachusetts,53348,3405,6892503,16.5,51.5,71.4,2.53,42.9,77378,839.4,236100,rep
Michigan,37184,3670,9986857,17.2,50.8,74.9,2.49,28.6,54938,174.8,193879,dem
Minnesota,3446,319,5639632,15.9,50.2,79.5,2.49,35.4,68411,66.6,58987,dem
Mississippi,5718,250,2976149,15.9,51.5,56.5,2.62,21.8,43567,63.2,60788,rep
Missouri,6826,318,6137428,16.9,50.9,79.3,2.47,28.6,53560,87.1,69748,rep
Montana,445,16,1068778,18.7,49.7,85.9,2.39,31.2,52559,6.8,12862,dem
Nebraska,2732,55,1934408,15.7,50.1,78.6,2.46,31.3,59116,23.8,21228,rep
Nevada,4539,230,3080156,15.7,49.1,48.7,2.68,24.2,57598,24.6,38186,dem
New Hampshire,1787,60,1359711,18.1,50.4,90,2.46,36.5,74057,147,18751,rep
New Jersey,105523,6770,8882190,16.1,51.1,54.9,2.71,38.9,79363,1195,223144,dem
New Mexico,2660,110,2096829,17.5,50.5,37.1,2.64,27.1,48059,17,53735,dem
New York,277606,18015,19453561,16.4,51.4,55.4,2.6,45.9,65323,411.2,805350,dem
North Carolina,8623,354,10488084,16.3,51.4,62.8,2.52,30.5,52413,196.1,107894,dem
North Dakota,803,19,762062,15.3,48.8,84,2.31,29.5,63473,9.7,20717,rep
Ohio,15587,937,11689100,17.1,51,78.7,2.43,27.8,54533,282.3,115783,rep
Oklahoma,3193,214,3956971,15.7,50.5,65.3,2.58,25.2,51424,54.7,53144,rep
Oregon,2253,101,4217737,17.6,50.4,75.3,2.51,32.9,59393,39.9,48964,dem
Pennsylvania,40049,2195,12801989,18.2,51,76.1,2.46,30.8,59445,283.9,198593,dem
Rhode Island,7129,251,1059361,17.2,51.5,72,2.47,33.3,63296,1018.1,53403,dem
South Carolina,5253,203,5148714,17.7,51.5,63.7,2.54,27.4,51015,153.9,50761,rep
South Dakota,2147,13,884659,16.6,49.5,81.4,2.43,28.5,56499,10.7,16274,rep
Tennessee,8882,195,6829174,16.4,51.2,73.7,2.53,26.6,50972,153.9,148221,rep
Texas,23773,732,28995881,12.6,50.3,41.5,2.86,29.3,59570,96.3,276021,rep
Utah,3948,45,3205958,11.1,49.6,78,3.13,33.3,68374,33.6,95702,rep
Vermont,843,47,623989,19.4,50.6,92.5,2.31,37.3,60076,67.9,14797,rep
Virginia,12366,522,8535519,15.4,50.8,61.5,2.61,28.2,71564,202.6,76118,dem
Washington,13319,786,7614893,15.4,50,68,2.55,35.3,70116,101.2,170594,dem
West Virginia,1025,38,1792147,19.9,50.5,92.1,2.42,20.3,44921,77.1,39063,rep
Wisconsin,5687,308,5822434,17,50.2,81.1,2.4,29.5,59209,105,65146,dem
Wyoming,491,7,578759,16.5,49,83.8,2.46,26.9,62268,5.8,8159,rep
